Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2014,6,30,3,0,0.554685,0,0,0,0,0
2014,6,30,4,0,0.61102,0,0,0,0,0
2014,6,30,5,0,0.68594,0,0,0,0,0
2014,6,30,6,0,0.63631,0,0,0,0,0
2014,6,30,7,0,0.598425,0,0,0,0,0
2014,6,30,8,0,0.633025,0,0,0,0,0
2014,6,30,9,0,0.54531,0,0,0,0,0
2014,6,30,10,0,0.448503,0,0,0,0,0
2014,6,30,11,0,0.61517,0,0,0,0,0
2014,6,30,12,0,0.55096,0,0,0,0,0
2014,6,30,13,0,0.4909665,0,0,0,0,0
2014,6,30,14,0,0.352988,0,0,0,0,0
2014,6,30,15,0,0.400655,0,0,0,0,0
2014,6,30,16,0,0.4903935,0,0,0,0,0
2014,6,30,17,0,0.477942,0,0,0,0,0
2014,6,30,18,0,0.473829,0,0,0,0,0
2014,6,30,19,0,0.497521,0,0,0,0,0
2014,6,30,20,0,0.51119,0,0,0,0,0
2014,6,30,21,0,0.467881,0,0,0,0,0
2014,6,30,22,0,0.37464,0,0,0,0,0
2014,6,30,23,0,0.340324,0,0,0,0,0
2014,7,1,0,0,0.403439,0,0,0,0,0
2014,7,1,1,0,0.423858,0,0,0,0,0
2014,7,1,2,0,0.387192,0,0,0,0,0
2014,7,1,3,0,0.513145,0,0,0,0,0
2014,7,1,4,0,0.631095,0,0,0,0,0
2014,7,1,5,0,0.601615,0,0,0,0,0
2014,7,1,6,0,0.61518,0,0,0,0,0
2014,7,1,7,0,0.56788,0,0,0,0,0
2014,7,1,8,0,0.4738305,0,0,0,0,0
2014,7,1,9,0,0.488017,0,0,0,0,0
2014,7,1,10,0,0.4520205,0,0,0,0,0
2014,7,1,11,0,0.448177,0,0,0,0,0
2014,7,1,12,0,0.448618,0,0,0,0,0
2014,7,1,13,0,0.4192745,0,0,0,0,0
2014,7,1,14,0,0.4176315,0,0,0,0,0
2014,7,1,15,0,0.425522,0,0,0,0,0
2014,7,1,16,0,0.4230685,0,0,0,0,0
2014,7,1,17,0,0.4263815,0,0,0,0,0
2014,7,1,18,0,0.4495505,0,0,0,0,0
2014,7,1,19,0,0.4383075,0,0,0,0,0
2014,7,1,20,0,0.4432715,0,0,0,0,0
2014,7,1,21,0,0.464774,0,0,0,0,0
2014,7,1,22,0,0.460384,0,0,0,0,0
2014,7,1,23,0,0.479018,0,0,0,0,0
2014,7,2,0,0,0.4843765,0,0,0,0,0
2014,7,2,1,0,0.455336,0,0,0,0,0
2014,7,2,2,0,0.4154125,0,0,0,0,0
2014,7,2,3,0,0.433712,0,0,0,0,0
2014,7,2,4,0,0.52597,0,0,0,0,0
2014,7,2,5,0,0.55753,0,0,0,0,0
